filepath,num_joins_in_user_query,num_joins_in_benchmark_query,query_id
imdb/benchmarks/job/11d.sql,2,7,111045
imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,1,6,111981
imdb/benchmarks/ceb/1a/1a999.sql,5,8,107623
imdb/benchmarks/ceb/3a/3a999.sql,7,9,99905
imdb/benchmarks/ceb/5a/5a999.sql,6,9,115499
imdb/benchmarks/ceb/11a/fe9f99ecc087c8840691c9b100708bfa43569855.sql,6,9,82762
imdb/benchmarks/job/16d.sql,3,7,106758
imdb/benchmarks/ceb/3b/ff942a1052c1a10be7e152823a06322c07a314a3.sql,6,9,90466
imdb/benchmarks/ceb/8a/8a99.sql,10,11,112716
imdb/benchmarks/job/9d.sql,2,7,147985
imdb/benchmarks/job/12c.sql,2,7,167829
imdb/benchmarks/ceb/9a/fff673d500e25c73a6e054e9a4e60a31e633ba47.sql,4,8,124886
imdb/benchmarks/job/19d.sql,6,9,107035
imdb/benchmarks/job/17f.sql,1,6,121952
imdb/benchmarks/job/14c.sql,3,7,144834
imdb/benchmarks/job/7c.sql,2,7,150811
imdb/benchmarks/ceb/9a/ffe8b911dff2616a3cde71e8ed914e363da07b70.sql,4,8,92818
imdb/benchmarks/job/20c.sql,7,9,76332
imdb/benchmarks/job/19c.sql,6,9,102647
imdb/benchmarks/job/7c.sql,2,7,88465
imdb/benchmarks/job/20b.sql,7,9,121271
imdb/benchmarks/job/14b.sql,3,7,82407
imdb/benchmarks/job/8d.sql,1,6,122093
imdb/benchmarks/job/11c.sql,2,7,114320
imdb/benchmarks/job/7b.sql,3,7,93626
imdb/benchmarks/ceb/9b/feae2fd4e41ac4a2d94f9d77bf9d0106a7397871.sql,4,8,104387
imdb/benchmarks/ceb/2c/2c99.sql,5,8,109234
imdb/benchmarks/job/9c.sql,3,7,117356
imdb/benchmarks/job/20a.sql,6,9,105019
imdb/benchmarks/ceb/11a/fdac0e602405ac158554ecf456acfebab3a248c0.sql,6,9,105353
imdb/benchmarks/ceb/2c/2c98.sql,5,8,150232
imdb/benchmarks/job/12b.sql,2,7,96934
imdb/benchmarks/ceb/11a/fcd0ecd19dfceed5f87d0f4576bd9ab255c13f2b.sql,6,9,152681
imdb/benchmarks/ceb/3b/ff7b376cf38c8e80ec4ed702f956a20b23144109.sql,6,9,142665
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,10,11,111630
imdb/benchmarks/ceb/11a/fbac0d23c5266c1594905f03aad47b367ae6fb15.sql,6,9,168141
imdb/benchmarks/job/20a.sql,6,9,126674
imdb/benchmarks/ceb/11a/fdac0e602405ac158554ecf456acfebab3a248c0.sql,6,9,126977
imdb/benchmarks/job/12b.sql,2,7,127973
imdb/benchmarks/ceb/3b/ff7b376cf38c8e80ec4ed702f956a20b23144109.sql,6,9,148931
imdb/benchmarks/ceb/11a/fcd0ecd19dfceed5f87d0f4576bd9ab255c13f2b.sql,6,9,131895
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,10,11,160035
imdb/benchmarks/ceb/11a/fbac0d23c5266c1594905f03aad47b367ae6fb15.sql,6,9,159111
imdb/benchmarks/job/12a.sql,3,7,158203
imdb/benchmarks/job/16c.sql,2,7,76769
imdb/benchmarks/job/13d.sql,5,8,95983
imdb/benchmarks/job/7a.sql,2,7,93989
imdb/benchmarks/job/9b.sql,3,7,129120
imdb/benchmarks/job/16b.sql,2,7,130413
imdb/benchmarks/job/10c.sql,1,6,152947
imdb/benchmarks/job/16a.sql,2,7,139144
imdb/benchmarks/job/10b.sql,1,6,80731
