filepath,num_joins_in_user_query,num_joins_in_benchmark_query,query_id
imdb/benchmarks/job/11d.sql,2,7,142356
imdb/benchmarks/ceb/2a/2a99.sql,6,10,156212
imdb/benchmarks/ceb/2b/2b99.sql,7,10,139210
imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,1,6,153127
imdb/benchmarks/job/16d.sql,2,7,138602
imdb/benchmarks/job/9d.sql,2,7,175831
imdb/benchmarks/job/9c.sql,2,7,133341
imdb/benchmarks/job/17f.sql,1,6,210887
imdb/benchmarks/ceb/8a/8a99.sql,8,11,160021
imdb/benchmarks/job/8d.sql,1,6,128270
imdb/benchmarks/job/17e.sql,1,6,162105
imdb/benchmarks/job/10c.sql,1,6,153301
imdb/benchmarks/job/11d.sql,2,7,212497
imdb/benchmarks/job/10c.sql,1,6,167939
imdb/benchmarks/job/12c.sql,3,7,212047
imdb/benchmarks/job/18c.sql,1,6,209415
imdb/benchmarks/job/10b.sql,1,6,130817
imdb/benchmarks/job/14c.sql,2,7,173941
imdb/benchmarks/job/18b.sql,1,6,212315
imdb/benchmarks/job/11d.sql,2,7,212750
imdb/benchmarks/job/10c.sql,1,6,160863
imdb/benchmarks/job/7c.sql,3,7,212635
imdb/benchmarks/job/14b.sql,2,7,204607
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,8,11,204882
imdb/benchmarks/job/12b.sql,2,7,200441
imdb/benchmarks/job/11c.sql,2,7,157086
imdb/benchmarks/job/22d.sql,6,10,149147
imdb/benchmarks/job/17d.sql,1,6,196533
imdb/benchmarks/job/23c.sql,7,10,205882
imdb/benchmarks/job/11b.sql,2,7,151462
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,202981
imdb/benchmarks/job/8c.sql,1,6,133644
imdb/benchmarks/job/17c.sql,1,6,142076
imdb/benchmarks/job/18a.sql,1,6,138430
imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,1,6,204860
imdb/benchmarks/job/11a.sql,2,7,210889
imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,1,6,137745
imdb/benchmarks/job/11a.sql,2,7,168448
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,8,11,175830
imdb/benchmarks/job/17d.sql,1,6,161594
imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,1,6,158346
imdb/benchmarks/job/12b.sql,2,7,211016
imdb/benchmarks/job/18a.sql,1,6,183745
imdb/benchmarks/job/22d.sql,6,10,135176
imdb/benchmarks/job/11c.sql,2,7,197792
imdb/benchmarks/job/23c.sql,7,10,163114
imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,1,6,206604
imdb/benchmarks/job/8c.sql,1,6,157146
imdb/benchmarks/job/7c.sql,3,7,127408
imdb/benchmarks/job/17c.sql,1,6,194795
imdb/benchmarks/job/11b.sql,2,7,135044
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,210083
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,227881
imdb/benchmarks/job/8c.sql,1,6,230748
imdb/benchmarks/job/22d.sql,6,10,226484
imdb/benchmarks/job/14b.sql,2,7,191900
imdb/benchmarks/job/18a.sql,1,6,230533
imdb/benchmarks/job/23c.sql,7,10,217069
imdb/benchmarks/job/11c.sql,2,7,199843
imdb/benchmarks/job/11a.sql,2,7,230204
imdb/benchmarks/job/12b.sql,2,7,229411
imdb/benchmarks/job/17d.sql,1,6,230587
imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,1,6,228383
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,8,11,228772
imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,1,6,222775
imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,1,6,230507
imdb/benchmarks/job/14b.sql,2,7,229288
imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,1,6,227941
imdb/benchmarks/job/7c.sql,3,7,215860
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,214935
imdb/benchmarks/job/8c.sql,1,6,228839
imdb/benchmarks/job/11b.sql,2,7,210858
imdb/benchmarks/job/17c.sql,1,6,200243
imdb/benchmarks/job/14b.sql,2,7,225807
imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,1,6,222568
imdb/benchmarks/job/17d.sql,1,6,228359
imdb/benchmarks/job/18a.sql,1,6,226015
imdb/benchmarks/job/12b.sql,2,7,227814
imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,1,6,204779
imdb/benchmarks/job/11c.sql,2,7,230605
imdb/benchmarks/job/23c.sql,7,10,226988
imdb/benchmarks/job/22d.sql,6,10,212545
imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,1,6,222094
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,8,11,228691
imdb/benchmarks/job/11a.sql,2,7,223210
imdb/benchmarks/job/8c.sql,1,6,218412
imdb/benchmarks/job/11b.sql,2,7,224839
imdb/benchmarks/job/7c.sql,3,7,230412
imdb/benchmarks/job/17c.sql,1,6,205770
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,227472
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,207800
imdb/benchmarks/job/8c.sql,1,6,203560
imdb/benchmarks/job/14b.sql,2,7,201926
imdb/benchmarks/job/22d.sql,6,10,195411
imdb/benchmarks/job/18a.sql,1,6,206843
imdb/benchmarks/job/23c.sql,7,10,192979
imdb/benchmarks/job/11c.sql,2,7,198255
imdb/benchmarks/job/11a.sql,2,7,190184
imdb/benchmarks/job/12b.sql,2,7,191074
imdb/benchmarks/job/17d.sql,1,6,191844
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,8,11,209228
imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,1,6,206597
imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,1,6,192136
imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,1,6,201253
imdb/benchmarks/job/14b.sql,2,7,198520
imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,1,6,208554
imdb/benchmarks/job/7c.sql,3,7,209243
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,189683
imdb/benchmarks/job/8c.sql,1,6,202645
imdb/benchmarks/job/11b.sql,2,7,196863
imdb/benchmarks/job/17c.sql,1,6,198301
imdb/benchmarks/job/14b.sql,2,7,204969
imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,1,6,201600
imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,1,6,197105
imdb/benchmarks/job/18a.sql,1,6,185372
imdb/benchmarks/job/22d.sql,6,10,208406
imdb/benchmarks/job/23c.sql,7,10,183877
imdb/benchmarks/job/11c.sql,2,7,197300
imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,1,6,196178
imdb/benchmarks/job/12b.sql,2,7,201119
imdb/benchmarks/job/17d.sql,1,6,199872
imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,8,11,204868
imdb/benchmarks/job/11a.sql,2,7,204909
imdb/benchmarks/job/8c.sql,1,6,187329
imdb/benchmarks/job/11b.sql,2,7,186997
imdb/benchmarks/job/7c.sql,3,7,188758
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,194977
imdb/benchmarks/job/17c.sql,1,6,204526
imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,1,6,112721
imdb/benchmarks/job/8c.sql,1,6,115567
imdb/benchmarks/job/31c.sql,6,10,114251
imdb/benchmarks/job/12a.sql,2,7,105898
imdb/benchmarks/job/9b.sql,2,7,122831
imdb/benchmarks/job/22c.sql,7,10,110240
imdb/benchmarks/job/8b.sql,1,6,112170
imdb/benchmarks/job/16c.sql,2,7,107493
imdb/benchmarks/job/7b.sql,2,7,118286
imdb/benchmarks/job/8a.sql,1,6,116190
imdb/benchmarks/job/26c.sql,8,11,107276
imdb/benchmarks/job/10a.sql,1,6,121669
imdb/benchmarks/ceb/10a/feab1842e30c452abd391c3326d9e4ff34c6dc11.sql,1,6,106826
imdb/benchmarks/job/17b.sql,1,6,118453
imdb/benchmarks/job/12a.sql,2,7,111564
imdb/benchmarks/job/17b.sql,1,6,110700
imdb/benchmarks/job/16b.sql,3,7,120042
imdb/benchmarks/ceb/10a/fe908e2b6537a8d6acfd277573458dce0e168e28.sql,1,6,121015
imdb/benchmarks/job/17a.sql,1,6,119687
imdb/benchmarks/job/9a.sql,2,7,120982
imdb/benchmarks/ceb/10a/fe466f77ec0cd3dca2c428d45227925db297555a.sql,1,6,108224
imdb/benchmarks/job/12a.sql,2,7,115911
imdb/benchmarks/job/17b.sql,1,6,113040
imdb/benchmarks/job/8a.sql,1,6,103595
imdb/benchmarks/job/16c.sql,2,7,109777
imdb/benchmarks/job/31c.sql,6,10,110011
imdb/benchmarks/ceb/10a/feab1842e30c452abd391c3326d9e4ff34c6dc11.sql,1,6,115215
imdb/benchmarks/job/7b.sql,2,7,110611
imdb/benchmarks/job/10a.sql,1,6,115479
imdb/benchmarks/job/9b.sql,2,7,102525
imdb/benchmarks/job/22c.sql,7,10,106539
imdb/benchmarks/job/26c.sql,8,11,105591
imdb/benchmarks/job/8b.sql,1,6,120598
imdb/benchmarks/job/9a.sql,2,7,107246
imdb/benchmarks/job/16b.sql,3,7,121771
imdb/benchmarks/job/17a.sql,1,6,106080
imdb/benchmarks/ceb/10a/fe466f77ec0cd3dca2c428d45227925db297555a.sql,1,6,106110
imdb/benchmarks/ceb/10a/fe908e2b6537a8d6acfd277573458dce0e168e28.sql,1,6,110012
imdb/benchmarks/ceb/10a/fe908e2b6537a8d6acfd277573458dce0e168e28.sql,1,6,204648
imdb/benchmarks/job/17a.sql,1,6,216396
imdb/benchmarks/job/31c.sql,6,10,205298
imdb/benchmarks/job/12a.sql,2,7,221450
imdb/benchmarks/job/9b.sql,2,7,231350
imdb/benchmarks/job/22c.sql,7,10,231393
imdb/benchmarks/job/8b.sql,1,6,218296
imdb/benchmarks/job/16c.sql,2,7,202660
imdb/benchmarks/job/7b.sql,2,7,214060
imdb/benchmarks/job/8a.sql,1,6,231268
imdb/benchmarks/job/26c.sql,8,11,224885
imdb/benchmarks/job/10a.sql,1,6,230852
imdb/benchmarks/ceb/10a/feab1842e30c452abd391c3326d9e4ff34c6dc11.sql,1,6,227330
imdb/benchmarks/job/17b.sql,1,6,200849
imdb/benchmarks/job/16b.sql,3,7,204885
imdb/benchmarks/ceb/10a/fe908e2b6537a8d6acfd277573458dce0e168e28.sql,1,6,227064
imdb/benchmarks/job/17a.sql,1,6,229245
imdb/benchmarks/job/16a.sql,2,7,228432
imdb/benchmarks/job/9a.sql,2,7,224902
imdb/benchmarks/ceb/10a/fe466f77ec0cd3dca2c428d45227925db297555a.sql,1,6,224219
